

            Map List              

Room Name          Description
---------          -----------
Starting Room       Entrance to the Dungeon.2f
Instructions Room   This room contains instructions for the game.2f
Finished Game         You Won!.2f
Wizard Room         The great white wizard resides in this room.2f
Zombie Room         Home to creatures that only enjoy eating brains.2f
Goblin Room         Home to creatures of the caves.2f
Trap Room           Watch your step. It's a trap.2f
Vampire Room        This is home to the blood sucking, reflectionless characters.2f
Fairy Room          This is home to the Fairies.2f
Empty Room          This room is empty.2f
